controller,subadress,timestamp,data,workpiece_gripped
0,9,1566830032803,949.2966,0
0,9,1566830033812,949.2377,0
0,9,1566830034825,949.1844,0
0,9,1566830035836,949.2917,0
0,9,1566830036848,949.1879,0
0,9,1566830037860,949.2349,0
0,9,1566830038871,949.3152,0
0,9,1566830039892,949.2661,0
0,9,1566830040894,949.168,0
0,9,1566830041908,949.2592,0
0,9,1566830042919,949.2607,0
0,9,1566830043933,949.2995,0
0,9,1566830044943,949.228,0
0,9,1566830045956,949.2654,0
0,9,1566830046968,949.2214,0
0,9,1566830047980,949.2429,0
0,9,1566830048992,949.3196,0
0,9,1566830050003,949.2105,0
0,9,1566830051016,949.3417,0
0,9,1566830052028,865.5649,1
0,9,1566830053041,629.8121,1
0,9,1566830054052,613.228,1
0,9,1566830055064,611.6398,1
0,9,1566830056077,612.3562,1
0,9,1566830057090,613.6769,1
0,9,1566830058099,615.1075,1
0,9,1566830059113,616.4885,1
0,9,1566830060125,617.9839,1
0,9,1566830061136,619.3751,1
0,9,1566830062148,620.6318,1
0,9,1566830063161,621.9786,1
0,9,1566830064173,623.3319,1
0,9,1566830065185,624.5346,1
0,9,1566830066197,625.8706,1
0,9,1566830067209,627.1036,1
0,9,1566830068221,628.2757,1
0,9,1566830069233,629.5354,1
0,9,1566830070244,630.6357,1
0,9,1566830071257,631.9282,1
0,9,1566830072269,633.053,1
0,9,1566830073280,634.2547,1
0,9,1566830074292,635.4924,1
0,9,1566830075305,949.3333,0
0,9,1566830076317,949.2314,0
0,9,1566830077329,949.2572,0
0,9,1566830078341,949.1849,0
0,9,1566830079353,949.152,0
0,9,1566830080365,949.2661,0
0,9,1566830081376,949.2285,0
0,9,1566830082389,949.2828,0
0,9,1566830083401,949.2377,0
0,9,1566830084413,949.2081,0
0,9,1566830085426,949.2803,0
0,9,1566830086437,949.2089,0
0,9,1566830087449,949.2355,0
0,9,1566830088461,949.2943,0
0,9,1566830089474,949.2447,0
0,9,1566830090501,949.3643,0
0,9,1566830091497,949.3259,0
0,9,1566830092509,949.252,0
0,9,1566830093521,949.2917,0
0,9,1566830094534,949.2226,0
0,9,1566830095545,949.1653,0
0,9,1566830096557,949.2823,0
0,9,1566830097570,949.1725,0
0,9,1566830098582,949.2732,0
0,9,1566830099593,949.1914,0
0,9,1566830100605,949.192,0
0,9,1566830101618,949.2476,0
0,9,1566830102629,949.2614,0
0,9,1566830103641,949.2729,0
0,9,1566830104654,949.1902,0
0,9,1566830105669,949.2388,0
0,9,1566830106677,949.1993,0
0,9,1566830107689,949.3107,0
0,9,1566830108702,949.3091,0
0,9,1566830109714,949.2234,0
0,9,1566830110726,949.2068,0
0,9,1566830111737,949.3455,0
0,9,1566830112750,949.1614,0
0,9,1566830113762,949.2661,0
0,9,1566830114774,949.2611,0
0,9,1566830115787,949.2493,0
0,9,1566830116803,949.2661,0
0,9,1566830117810,949.2823,0
0,9,1566830118822,949.2963,0
0,9,1566830119833,949.212,0
0,9,1566830120846,949.2045,0
0,9,1566830121858,778.2325,1
0,9,1566830122870,635.479,1
0,9,1566830123883,626.6945,1
0,9,1566830124894,632.9127,1
0,9,1566830125906,640.6026,1
0,9,1566830126918,649.1436,1
0,9,1566830127931,657.3568,1
0,9,1566830128947,664.4698,1
0,9,1566830129955,670.4977,1
0,9,1566830130966,676.5183,1
0,9,1566830131978,681.6599,1
0,9,1566830132991,686.5149,1
0,9,1566830134004,690.4945,1
0,9,1566830135017,695.9835,1
0,9,1566830136028,701.3726,1
0,9,1566830137042,706.9404,1
0,9,1566830138054,712.4827,1
0,9,1566830139067,719.6455,1
0,9,1566830140079,728.3783,1
0,9,1566830141092,737.7884,1
0,9,1566830142109,748.9334,1
0,9,1566830143118,760.4781,1
0,9,1566830144129,949.1862,0
0,9,1566830145142,949.2084,0
0,9,1566830146155,949.2082,0
0,9,1566830147168,949.2101,0
0,9,1566830148179,949.3007,0
0,9,1566830149193,949.2811,0
0,9,1566830150209,949.3317,0
0,9,1566830151218,949.1794,0
0,9,1566830152230,949.2371,0
0,9,1566830153243,949.2653,0
0,9,1566830154256,949.3173,0
0,9,1566830155269,949.3196,0
0,9,1566830156280,949.1404,0
0,9,1566830157293,949.2167,0
0,9,1566830158306,949.2557,0
0,9,1566830159318,949.249,0
0,9,1566830160331,949.3022,0
0,9,1566830161344,949.3215,0
0,9,1566830162355,949.2199,0
0,9,1566830163369,949.2346,0
0,9,1566830164382,949.2234,0
0,9,1566830165393,949.1647,0
0,9,1566830166406,949.1934,0
0,9,1566830167419,949.246,0
0,9,1566830168430,949.2733,0
0,9,1566830169443,949.2289,0
0,9,1566830170456,949.2285,0
0,9,1566830171468,949.191,0
0,9,1566830172481,949.2781,0
0,9,1566830173494,949.3121,0
0,9,1566830174507,949.2114,0
0,9,1566830175518,949.1509,0
0,9,1566830176531,949.2029,0
0,9,1566830177544,949.2173,0
0,9,1566830178557,949.2729,0
0,9,1566830179569,949.1977,0
0,9,1566830180582,949.1464,0
0,9,1566830181594,949.2602,0
